request_index,prompt_id,scene_id,category,variant_type,relation,language,language_name,submitted_prompt,prompt_zh_original,expected_objects_json,absent_objects_json,prompt_file,output_png,sidecar_json,model,size,quality,request_total,status,attempts,started_at,completed_at,elapsed_seconds,returncode,stdout_log,stderr_log
35,S06_base,S06,quantity_color,base,right_of,fr,French,Trois ballons bleu sont à droite de une boîte jaune.,三个蓝色气球在一个黄色盒子的右边。,"[{""name"": ""气球"", ""color"": ""蓝色"", ""shape"": ""圆形"", ""count"": 3, ""x"": 0.62, ""y"": 0.44}, {""name"": ""盒子"", ""color"": ""黄色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.3, ""y"": 0.68}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S06_base_fr.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S06_base_fr.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
36,S07_base,S07,attribute_binding,base,left_of,en,English,A black car is to the left of a white bicycle.,黑色汽车在白色自行车的左边。,"[{""name"": ""汽车"", ""color"": ""黑色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.3, ""y"": 0.58}, {""name"": ""自行车"", ""color"": ""白色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.7, ""y"": 0.58}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S07_base_en.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_en.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
37,S07_base,S07,attribute_binding,base,left_of,zh,Chinese,黑色汽车在白色自行车的左边。,黑色汽车在白色自行车的左边。,"[{""name"": ""汽车"", ""color"": ""黑色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.3, ""y"": 0.58}, {""name"": ""自行车"", ""color"": ""白色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.7, ""y"": 0.58}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S07_base_zh.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_zh.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
38,S07_base,S07,attribute_binding,base,left_of,hi,Hindi,एक काली कार एक सफेद साइकिल के बाईं ओर है।,黑色汽车在白色自行车的左边。,"[{""name"": ""汽车"", ""color"": ""黑色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.3, ""y"": 0.58}, {""name"": ""自行车"", ""color"": ""白色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.7, ""y"": 0.58}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S07_base_hi.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_hi.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
39,S07_base,S07,attribute_binding,base,left_of,es,Spanish,Un coche negro está a la izquierda de una bicicleta blanca.,黑色汽车在白色自行车的左边。,"[{""name"": ""汽车"", ""color"": ""黑色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.3, ""y"": 0.58}, {""name"": ""自行车"", ""color"": ""白色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.7, ""y"": 0.58}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S07_base_es.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_es.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
40,S07_base,S07,attribute_binding,base,left_of,fr,French,Une voiture noire est à gauche de un vélo blanc.,黑色汽车在白色自行车的左边。,"[{""name"": ""汽车"", ""color"": ""黑色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.3, ""y"": 0.58}, {""name"": ""自行车"", ""color"": ""白色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.7, ""y"": 0.58}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S07_base_fr.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S07_base_fr.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
41,S08_base,S08,attribute_binding,base,above,en,English,A gray cat is above a brown dog.,灰色猫在棕色狗的上方。,"[{""name"": ""猫"", ""color"": ""灰色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.66, ""y"": 0.34}, {""name"": ""狗"", ""color"": ""棕色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.36, ""y"": 0.66}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S08_base_en.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_en.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
42,S08_base,S08,attribute_binding,base,above,zh,Chinese,灰色猫在棕色狗的上方。,灰色猫在棕色狗的上方。,"[{""name"": ""猫"", ""color"": ""灰色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.66, ""y"": 0.34}, {""name"": ""狗"", ""color"": ""棕色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.36, ""y"": 0.66}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S08_base_zh.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_zh.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
43,S08_base,S08,attribute_binding,base,above,hi,Hindi,एक धूसर बिल्ली एक भूरा कुत्ता के ऊपर है।,灰色猫在棕色狗的上方。,"[{""name"": ""猫"", ""color"": ""灰色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.66, ""y"": 0.34}, {""name"": ""狗"", ""color"": ""棕色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.36, ""y"": 0.66}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S08_base_hi.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_hi.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
44,S08_base,S08,attribute_binding,base,above,es,Spanish,Un gato gris está encima de un perro marrón.,灰色猫在棕色狗的上方。,"[{""name"": ""猫"", ""color"": ""灰色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.66, ""y"": 0.34}, {""name"": ""狗"", ""color"": ""棕色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.36, ""y"": 0.66}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S08_base_es.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_es.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
45,S08_base,S08,attribute_binding,base,above,fr,French,Un chat gris est au-dessus de un chien marron.,灰色猫在棕色狗的上方。,"[{""name"": ""猫"", ""color"": ""灰色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.66, ""y"": 0.34}, {""name"": ""狗"", ""color"": ""棕色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.36, ""y"": 0.66}]",[],PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S08_base_fr.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_fr.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
46,S09_base,S09,negation,base,none,en,English,"A blue ship and a yellow sun appear together, and there is no bird.",蓝色船和黄色太阳同时出现，不要出现鸟。,"[{""name"": ""船"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.36, ""y"": 0.56}, {""name"": ""太阳"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.28}]","[{""name"": ""鸟"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 0}]",PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S09_base_en.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_en.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:19:33+08:00,2026-05-20T18:20:06+08:00,32.54,0,logs/S09_base_en_attempt1.stdout.txt,logs/S09_base_en_attempt1.stderr.txt
47,S09_base,S09,negation,base,none,zh,Chinese,蓝色船和黄色太阳同时出现，不要出现鸟。,蓝色船和黄色太阳同时出现，不要出现鸟。,"[{""name"": ""船"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.36, ""y"": 0.56}, {""name"": ""太阳"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.28}]","[{""name"": ""鸟"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 0}]",PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S09_base_zh.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_zh.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:20:06+08:00,2026-05-20T18:20:38+08:00,32.454,0,logs/S09_base_zh_attempt1.stdout.txt,logs/S09_base_zh_attempt1.stderr.txt
48,S09_base,S09,negation,base,none,hi,Hindi,एक नीली नाव और एक पीला सूरज साथ दिखाई दें। पक्षी न दिखे।,蓝色船和黄色太阳同时出现，不要出现鸟。,"[{""name"": ""船"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.36, ""y"": 0.56}, {""name"": ""太阳"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.28}]","[{""name"": ""鸟"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 0}]",PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S09_base_hi.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_hi.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:20:38+08:00,2026-05-20T18:21:05+08:00,26.364,0,logs/S09_base_hi_attempt1.stdout.txt,logs/S09_base_hi_attempt1.stderr.txt
49,S09_base,S09,negation,base,none,es,Spanish,"Un barco azul y un sol amarillo aparecen juntos, sin un pájaro.",蓝色船和黄色太阳同时出现，不要出现鸟。,"[{""name"": ""船"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.36, ""y"": 0.56}, {""name"": ""太阳"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.28}]","[{""name"": ""鸟"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 0}]",PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S09_base_es.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_es.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:21:05+08:00,2026-05-20T18:21:31+08:00,26.039,0,logs/S09_base_es_attempt1.stdout.txt,logs/S09_base_es_attempt1.stderr.txt
50,S09_base,S09,negation,base,none,fr,French,"Un bateau bleu et un soleil jaune apparaissent ensemble, sans un oiseau.",蓝色船和黄色太阳同时出现，不要出现鸟。,"[{""name"": ""船"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.36, ""y"": 0.56}, {""name"": ""太阳"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.28}]","[{""name"": ""鸟"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 0}]",PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S09_base_fr.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_fr.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:21:31+08:00,2026-05-20T18:21:56+08:00,25.155,0,logs/S09_base_fr_attempt1.stdout.txt,logs/S09_base_fr_attempt1.stderr.txt
51,S09_negation_rephrase,S09,negation,negation_rephrase,none,en,English,Do not draw a bird; keep only the blue ship and the yellow sun.,请不要画鸟，只保留蓝色船和黄色太阳。,"[{""name"": ""船"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.36, ""y"": 0.56}, {""name"": ""太阳"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.28}]","[{""name"": ""鸟"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 0}]",PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S09_negation_rephrase_en.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_en.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:21:56+08:00,2026-05-20T18:22:47+08:00,50.519,0,logs/S09_negation_rephrase_en_attempt1.stdout.txt,logs/S09_negation_rephrase_en_attempt1.stderr.txt
52,S09_negation_rephrase,S09,negation,negation_rephrase,none,zh,Chinese,请不要画鸟，只保留蓝色船和黄色太阳。,请不要画鸟，只保留蓝色船和黄色太阳。,"[{""name"": ""船"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.36, ""y"": 0.56}, {""name"": ""太阳"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.28}]","[{""name"": ""鸟"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 0}]",PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S09_negation_rephrase_zh.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_zh.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:22:47+08:00,2026-05-20T18:23:15+08:00,28.735,0,logs/S09_negation_rephrase_zh_attempt1.stdout.txt,logs/S09_negation_rephrase_zh_attempt1.stderr.txt
53,S09_negation_rephrase,S09,negation,negation_rephrase,none,hi,Hindi,कृपया पक्षी न बनाएं; केवल एक नीली नाव और एक पीला सूरज रखें।,请不要画鸟，只保留蓝色船和黄色太阳。,"[{""name"": ""船"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.36, ""y"": 0.56}, {""name"": ""太阳"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.28}]","[{""name"": ""鸟"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 0}]",PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S09_negation_rephrase_hi.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_hi.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:23:15+08:00,2026-05-20T18:23:40+08:00,24.547,0,logs/S09_negation_rephrase_hi_attempt1.stdout.txt,logs/S09_negation_rephrase_hi_attempt1.stderr.txt
54,S09_negation_rephrase,S09,negation,negation_rephrase,none,es,Spanish,"Por favor, no dibujes un pájaro; conserva solo Un barco azul y Un sol amarillo.",请不要画鸟，只保留蓝色船和黄色太阳。,"[{""name"": ""船"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.36, ""y"": 0.56}, {""name"": ""太阳"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.28}]","[{""name"": ""鸟"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 0}]",PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S09_negation_rephrase_es.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_es.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:23:40+08:00,2026-05-20T18:24:02+08:00,22.024,0,logs/S09_negation_rephrase_es_attempt1.stdout.txt,logs/S09_negation_rephrase_es_attempt1.stderr.txt
55,S09_negation_rephrase,S09,negation,negation_rephrase,none,fr,French,Veuillez ne pas dessiner un oiseau; gardez seulement Un bateau bleu et Un soleil jaune.,请不要画鸟，只保留蓝色船和黄色太阳。,"[{""name"": ""船"", ""color"": ""蓝色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.36, ""y"": 0.56}, {""name"": ""太阳"", ""color"": ""黄色"", ""shape"": ""圆形"", ""count"": 1, ""x"": 0.7, ""y"": 0.28}]","[{""name"": ""鸟"", ""color"": ""黑色"", ""shape"": ""三角形"", ""count"": 0}]",PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S09_negation_rephrase_fr.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_fr.json,gpt-image-2,1024x1024,medium,60,success,1,2026-05-20T18:24:02+08:00,2026-05-20T18:24:30+08:00,27.387,0,logs/S09_negation_rephrase_fr_attempt1.stdout.txt,logs/S09_negation_rephrase_fr_attempt1.stderr.txt
56,S10_base,S10,negation,base,above,en,English,"A red umbrella is above a brown bench, and there is no car.",红色伞在棕色长椅的上方，不要出现汽车。,"[{""name"": ""伞"", ""color"": ""红色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.46, ""y"": 0.38}, {""name"": ""长椅"", ""color"": ""棕色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.54, ""y"": 0.7}]","[{""name"": ""汽车"", ""color"": ""黑色"", ""shape"": ""矩形"", ""count"": 0}]",PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S10_base_en.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_en.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
57,S10_base,S10,negation,base,above,zh,Chinese,红色伞在棕色长椅的上方，不要出现汽车。,红色伞在棕色长椅的上方，不要出现汽车。,"[{""name"": ""伞"", ""color"": ""红色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.46, ""y"": 0.38}, {""name"": ""长椅"", ""color"": ""棕色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.54, ""y"": 0.7}]","[{""name"": ""汽车"", ""color"": ""黑色"", ""shape"": ""矩形"", ""count"": 0}]",PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S10_base_zh.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_zh.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
58,S10_base,S10,negation,base,above,hi,Hindi,एक लाल छाता एक भूरी बेंच के ऊपर है। कार न दिखे।,红色伞在棕色长椅的上方，不要出现汽车。,"[{""name"": ""伞"", ""color"": ""红色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.46, ""y"": 0.38}, {""name"": ""长椅"", ""color"": ""棕色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.54, ""y"": 0.7}]","[{""name"": ""汽车"", ""color"": ""黑色"", ""shape"": ""矩形"", ""count"": 0}]",PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S10_base_hi.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_hi.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
59,S10_base,S10,negation,base,above,es,Spanish,"Un paraguas rojo está encima de un banco marrón, sin un coche.",红色伞在棕色长椅的上方，不要出现汽车。,"[{""name"": ""伞"", ""color"": ""红色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.46, ""y"": 0.38}, {""name"": ""长椅"", ""color"": ""棕色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.54, ""y"": 0.7}]","[{""name"": ""汽车"", ""color"": ""黑色"", ""shape"": ""矩形"", ""count"": 0}]",PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S10_base_es.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_es.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
60,S10_base,S10,negation,base,above,fr,French,"Un parapluie rouge est au-dessus de un banc marron, sans une voiture.",红色伞在棕色长椅的上方，不要出现汽车。,"[{""name"": ""伞"", ""color"": ""红色"", ""shape"": ""三角形"", ""count"": 1, ""x"": 0.46, ""y"": 0.38}, {""name"": ""长椅"", ""color"": ""棕色"", ""shape"": ""矩形"", ""count"": 1, ""x"": 0.54, ""y"": 0.7}]","[{""name"": ""汽车"", ""color"": ""黑色"", ""shape"": ""矩形"", ""count"": 0}]",PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/prompts/S10_base_fr.txt,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_fr.json,gpt-image-2,1024x1024,medium,60,skipped_existing,0,,,,0,,
