request_index,prompt_id,scene_id,category,variant_type,relation,language,language_name,submitted_prompt,prompt_used,revised_prompt,has_revised_prompt,revised_prompt_has_non_ascii,revised_prompt_ascii_ratio,revised_prompt_english_like,prompt_chars,revised_prompt_chars,char_expansion_ratio,composition_specification,clean_background,realism_or_stylization,negative_no_text,object_relation_clarification,detail_expansion,curation_operation_count,manual_object_presence,manual_color_binding,manual_count_match,manual_relation_match,manual_negation_match,manual_strict_success,manual_observation_status,manual_observation_note,output_png,sidecar_json,generation_completed_at_local,elapsed_seconds
32,S08_base,S08,attribute_binding,base,above,zh,Chinese,灰色猫在棕色狗的上方。,灰色猫在棕色狗的上方。,"A simple scene showing a gray cat positioned above a brown dog. Clear spatial relationship: the gray cat is on top / above the brown dog. Neutral background, realistic but clean illustration style.",1,0,1.0,1,11,197,17.9091,1,0,1,0,1,1,4,1,1,1,1,,1,light_reviewed_contact_sheet,Gray cat and brown dog visible; cat is above/on top of the dog.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_zh.json,2026-05-20T17:36:10+08:00,31.058
33,S08_base,S08,attribute_binding,base,above,hi,Hindi,एक धूसर बिल्ली एक भूरा कुत्ता के ऊपर है।,एक धूसर बिल्ली एक भूरा कुत्ता के ऊपर है।,"A realistic scene of a gray cat standing on top of a brown dog. The brown dog is calm and the gray cat is balanced on its back. Natural lighting, clear composition, detailed fur, friendly non-violent mood, simple indoor or outdoor background.",1,0,1.0,1,40,242,6.05,1,0,1,0,1,1,4,1,1,1,1,,1,light_reviewed_contact_sheet,Gray cat and brown dog visible; cat is above/on top of the dog.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_hi.json,2026-05-20T17:37:22+08:00,71.569
34,S08_base,S08,attribute_binding,base,above,es,Spanish,Un gato gris está encima de un perro marrón.,Un gato gris está encima de un perro marrón.,"A simple, clear illustration of a gray cat standing on top of a brown dog. Friendly, neutral background, realistic proportions, soft lighting.",1,0,1.0,1,44,142,3.2273,1,0,1,0,1,1,4,1,1,1,1,,1,light_reviewed_contact_sheet,Gray cat and brown dog visible; cat is above/on top of the dog.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_es.json,2026-05-20T17:38:45+08:00,82.815
35,S08_base,S08,attribute_binding,base,above,fr,French,Un chat gris est au-dessus de un chien marron.,Un chat gris est au-dessus de un chien marron.,"A simple clear illustration: a gray cat positioned above a brown dog. The cat is directly above the dog, both visible, neutral background, natural colors, clean composition.",1,0,1.0,1,46,173,3.7609,1,0,1,0,1,1,4,1,1,1,1,,1,light_reviewed_contact_sheet,Gray cat and brown dog visible; cat is above/on top of the dog.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S08_base_fr.json,2026-05-20T17:39:11+08:00,25.233
46,S09_base,S09,negation,base,none,en,English,"A blue ship and a yellow sun appear together, and there is no bird.","A blue ship and a yellow sun appear together, and there is no bird.","A simple bright scene showing a blue ship and a yellow sun together. The ship should be clearly blue, the sun clearly yellow, both visible in the same composition. There must be no bird anywhere in the image. Clean, illustrative style, balanced composition, vivid colors.",1,0,1.0,1,67,271,4.0448,1,0,1,1,1,1,5,1,1,1,1,1,1,light_reviewed_contact_sheet,Blue ship/boat and yellow sun visible together; no bird is visible.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_en.json,2026-05-20T18:20:06+08:00,32.54
47,S09_base,S09,negation,base,none,zh,Chinese,蓝色船和黄色太阳同时出现，不要出现鸟。,蓝色船和黄色太阳同时出现，不要出现鸟。,"A simple clean illustration showing a blue boat and a yellow sun appearing at the same time, with no birds anywhere in the scene. Bright, minimal, friendly style, clear composition.",1,0,1.0,1,19,181,9.5263,1,0,1,1,1,1,5,1,1,1,1,1,1,light_reviewed_contact_sheet,Blue ship/boat and yellow sun visible together; no bird is visible.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_zh.json,2026-05-20T18:20:38+08:00,32.454
48,S09_base,S09,negation,base,none,hi,Hindi,एक नीली नाव और एक पीला सूरज साथ दिखाई दें। पक्षी न दिखे।,एक नीली नाव और एक पीला सूरज साथ दिखाई दें। पक्षी न दिखे।,"A simple clean illustration showing a blue boat and a yellow sun together in the same scene. No birds visible. Bright, clear background, minimal composition, child-friendly style.",1,0,1.0,1,56,179,3.1964,1,0,1,1,1,1,5,1,1,1,1,1,1,light_reviewed_contact_sheet,Blue ship/boat and yellow sun visible together; no bird is visible.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_hi.json,2026-05-20T18:21:05+08:00,26.364
49,S09_base,S09,negation,base,none,es,Spanish,"Un barco azul y un sol amarillo aparecen juntos, sin un pájaro.","Un barco azul y un sol amarillo aparecen juntos, sin un pájaro.","Ilustración simple y limpia: un barco azul y un sol amarillo aparecen juntos en la escena, sin ningún pájaro. Fondo claro, estilo vectorial minimalista, composición equilibrada.",1,1,0.9774,0,63,177,2.8095,1,1,1,1,1,1,6,1,1,1,1,1,1,light_reviewed_contact_sheet,Blue ship/boat and yellow sun visible together; no bird is visible.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_es.json,2026-05-20T18:21:31+08:00,26.039
50,S09_base,S09,negation,base,none,fr,French,"Un bateau bleu et un soleil jaune apparaissent ensemble, sans un oiseau.","Un bateau bleu et un soleil jaune apparaissent ensemble, sans un oiseau.","A simple illustration showing a blue boat and a yellow sun together in the scene, with no bird present. Clean, clear composition.",1,0,1.0,1,72,129,1.7917,1,0,1,1,1,1,5,1,1,1,1,1,1,light_reviewed_contact_sheet,Blue ship/boat and yellow sun visible together; no bird is visible.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_base_fr.json,2026-05-20T18:21:56+08:00,25.155
51,S09_negation_rephrase,S09,negation,negation_rephrase,none,en,English,Do not draw a bird; keep only the blue ship and the yellow sun.,Do not draw a bird; keep only the blue ship and the yellow sun.,"Edit the image so that it contains only a blue ship and a yellow sun. Remove any bird or bird-like elements entirely. Keep the composition simple and clean, with the blue ship and yellow sun clearly visible and no other major objects.",1,0,1.0,1,63,234,3.7143,1,0,0,0,1,1,3,1,1,1,1,1,1,light_reviewed_contact_sheet,Blue ship/boat and yellow sun visible; no bird is visible.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_en.json,2026-05-20T18:22:47+08:00,50.519
52,S09_negation_rephrase,S09,negation,negation_rephrase,none,zh,Chinese,请不要画鸟，只保留蓝色船和黄色太阳。,请不要画鸟，只保留蓝色船和黄色太阳。,"A simple clean illustration featuring only a blue boat and a yellow sun. No birds, no other animals, no extra objects. The blue boat is centered on calm water, with a bright yellow sun in the sky. Minimal composition, clear shapes, cheerful colors.",1,0,1.0,1,18,248,13.7778,1,0,1,1,1,1,5,1,1,1,1,1,1,light_reviewed_contact_sheet,Blue ship/boat and yellow sun visible; no bird is visible.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_zh.json,2026-05-20T18:23:15+08:00,28.735
53,S09_negation_rephrase,S09,negation,negation_rephrase,none,hi,Hindi,कृपया पक्षी न बनाएं; केवल एक नीली नाव और एक पीला सूरज रखें।,कृपया पक्षी न बनाएं; केवल एक नीली नाव और एक पीला सूरज रखें।,"A simple clean illustration containing only a blue boat and a yellow sun. No birds, no extra objects, no text, minimal composition, clear background.",1,0,1.0,1,59,149,2.5254,1,0,1,1,1,1,5,1,1,1,1,1,1,light_reviewed_contact_sheet,Blue ship/boat and yellow sun visible; no bird is visible.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_hi.json,2026-05-20T18:23:40+08:00,24.547
54,S09_negation_rephrase,S09,negation,negation_rephrase,none,es,Spanish,"Por favor, no dibujes un pájaro; conserva solo Un barco azul y Un sol amarillo.","Por favor, no dibujes un pájaro; conserva solo Un barco azul y Un sol amarillo.","Minimalist illustration with only a blue boat and a yellow sun. No bird, no other objects, no text. Clean simple composition, bright colors, plain background.",1,0,1.0,1,79,158,2.0,1,1,1,1,1,1,6,1,1,1,1,1,1,light_reviewed_contact_sheet,Blue ship/boat and yellow sun visible; no bird is visible.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_es.json,2026-05-20T18:24:02+08:00,22.024
55,S09_negation_rephrase,S09,negation,negation_rephrase,none,fr,French,Veuillez ne pas dessiner un oiseau; gardez seulement Un bateau bleu et Un soleil jaune.,Veuillez ne pas dessiner un oiseau; gardez seulement Un bateau bleu et Un soleil jaune.,"Minimalist childlike illustration: only a blue boat and a yellow sun. No bird, no other animals, no extra objects, no text. Clean simple composition with a plain background, bright colors.",1,0,1.0,1,87,188,2.1609,1,1,1,1,1,1,6,1,1,1,1,1,1,light_reviewed_contact_sheet,Blue ship/boat and yellow sun visible; no bird is visible.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S09_negation_rephrase_fr.json,2026-05-20T18:24:30+08:00,27.387
36,S10_base,S10,negation,base,above,en,English,"A red umbrella is above a brown bench, and there is no car.","A red umbrella is above a brown bench, and there is no car.","A simple realistic outdoor scene: a red umbrella positioned above a brown bench. Ensure there is no car anywhere in the scene. Daytime, neutral background, clean composition.",1,0,1.0,1,59,174,2.9492,1,0,1,1,1,1,5,1,1,1,1,1,1,light_reviewed_contact_sheet,Red umbrella and brown bench visible; no car is visible.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_en.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_en.json,2026-05-20T17:39:53+08:00,42.388
37,S10_base,S10,negation,base,above,zh,Chinese,红色伞在棕色长椅的上方，不要出现汽车。,红色伞在棕色长椅的上方，不要出现汽车。,一幅简洁自然的场景：一把红色雨伞悬在一张棕色长椅的上方，画面中不要出现汽车。可以是公园或街边环境，构图清晰，重点突出红色伞与棕色长椅的相对位置，光线自然，写实风格。,1,1,0.0,0,19,82,4.3158,1,0,1,1,1,1,5,1,1,1,1,1,1,light_reviewed_contact_sheet,Red umbrella and brown bench visible; no car is visible.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_zh.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_zh.json,2026-05-20T17:40:40+08:00,46.4
38,S10_base,S10,negation,base,above,hi,Hindi,एक लाल छाता एक भूरी बेंच के ऊपर है। कार न दिखे।,एक लाल छाता एक भूरी बेंच के ऊपर है। कार न दिखे।,"A simple realistic outdoor scene: a red umbrella placed above a brown bench. No car visible. Clean composition, natural lighting, bench clearly brown, umbrella clearly red, no other vehicles in frame.",1,0,1.0,1,47,200,4.2553,1,0,1,1,1,1,5,1,1,1,1,1,1,light_reviewed_contact_sheet,Red umbrella and brown bench visible; no car is visible.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_hi.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_hi.json,2026-05-20T17:41:53+08:00,72.52
39,S10_base,S10,negation,base,above,es,Spanish,"Un paraguas rojo está encima de un banco marrón, sin un coche.","Un paraguas rojo está encima de un banco marrón, sin un coche.","A simple realistic scene: a red umbrella placed on top of a brown bench, outdoors. No car present anywhere in the scene. Natural lighting, clear composition.",1,0,1.0,1,62,157,2.5323,1,0,1,1,1,1,5,1,1,1,partial,1,0,light_reviewed_contact_sheet,"Red umbrella and brown bench visible and no car is visible; umbrella rests against/over the bench, so the above relation is visually partial rather than clean.",PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_es.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_es.json,2026-05-20T17:42:22+08:00,29.621
40,S10_base,S10,negation,base,above,fr,French,"Un parapluie rouge est au-dessus de un banc marron, sans une voiture.","Un parapluie rouge est au-dessus de un banc marron, sans une voiture.","A simple realistic outdoor scene: a red umbrella positioned above a brown bench, with no car present anywhere in the scene. Natural daylight, clear composition, centered objects, clean background.",1,0,1.0,1,69,196,2.8406,1,1,1,1,1,1,6,1,1,1,1,1,1,light_reviewed_contact_sheet,Red umbrella and brown bench visible; no car is visible.,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_fr.png,PROJECT_ROOT/experiments_gpt_image2_expanded_20260520_1713/images/S10_base_fr.json,2026-05-20T17:43:10+08:00,47.562
